	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
19	Ein Prozess ist ein Streit vor Gericht	"Bei einem Prozess entscheidet das Gericht:
            • Hat ein Mensch etwas Verbotenes getan"	genauer gesagt	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
20	Hat ein Mensch etwas Verbotenes getan	Dann bekommt dieser Mensch eine Strafe.	NA	NA	Hat ein Mensch...Dann	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	AltLexC	Contingency.Condition.Arg1-as-cond	NA	NA	NA	NA	NA
21	Hat ein Mensch etwas Verbotenes getan	hat ein Mensch nichts Verbotenes getan	NA	NA	Oder	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Expansion.Disjunction	NA	NA	NA	NA	NA
22	Oder hat ein Mensch nichts Verbotenes getan	Dann bekommt dieser Mensch keine Strafe	NA	NA	hat ein Mensch...Dann	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	AltLexC	Contingency.Negative-condition.Arg1-as-negcond	NA	NA	NA	NA	NA
23	In Nordrhein-Westfalen war ein Prozess	Der Prozess war in Paderborn	genauer gesagt	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
24	Der Prozess war in Paderborn	Das Gericht in Paderborn hat 2 Menschen verurteilt	genauer gesagt	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
25	Das Gericht in Paderborn hat 2 Menschen verurteilt	Diese 2 Menschen haben...2 Frauen getötet	NA	NA	nämlich	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	"• Einen Mann.
• Und eine Frau"	NA
26	Diese 2 Menschen haben nämlich 2 Frauen getötet	Diese 2 Frauen waren aus Niedersachsen	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	EntRel	NA	NA	NA	NA	NA	NA
27	Diese 2 Menschen haben nämlich 2 Frauen getötet	werden die 2 Menschen lange eingesperrt	NA	NA	Jetzt	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
28	"In Nordrhein-Westfalen war ein Prozess...Der Prozess war in Paderborn.
Das Gericht in Paderborn hat 2 Menschen verurteilt.
• Einen Mann.
• Und eine Frau.
Diese 2 Menschen haben nämlich 2 Frauen getötet.
Diese 2 Frauen waren aus Niedersachsen.
Jetzt werden die 2 Menschen lange eingesperrt"	Was ist passiert	deshalb	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	NA	NA	NA	NA	NA
29	Was ist passiert	"Der Mann und die Frau waren ein Ehe·paar.
Das Ehe·paar hat zusammen in einem Haus gewohnt.
Das Haus ist in Höxter....Das Ehe·paar hat mehrere Frauen in das Haus gelockt.
Das Ehe·paar hat den Frauen zum Beispiel gesagt:
            Wir wollen mit euch leben.
            Kommt zu uns nach Höxter!
Die Frauen waren sehr einsam.
Deshalb sind die Frauen nach Höxter gefahren.
Dann hat das Ehe·paar die Frauen eingesperrt.
Und das Ehe·paar hat die Frauen misshandelt."	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Hypophora	NA	NA	NA	NA	NA	NA
30	Der Mann und die Frau waren ein Ehe·paar	Das Ehe·paar hat zusammen in einem Haus gewohnt	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	EntRel	NA	NA	NA	NA	NA	NA
31	Das Ehe·paar hat zusammen in einem Haus gewohnt	Das Haus ist in Höxter	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	EntRel	NA	NA	NA	NA	NA	NA
32	Das Haus ist in Höxter	Das Ehe·paar hat mehrere Frauen in das Haus gelockt	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	EntRel	NA	NA	NA	NA	NA	NA
33	Das Ehe·paar hat mehrere Frauen in das Haus gelockt	"Das Ehe·paar hat den Frauen zum Beispiel gesagt:
            Wir wollen mit euch leben"	indem	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Expansion.Manner.Arg2-as-manner	NA	NA	NA	NA	Kommt zu uns nach Höxter
34	Das Ehe·paar hat mehrere Frauen in das Haus gelockt	"Das Ehe·paar hat den Frauen...gesagt:
            Wir wollen mit euch leben"	NA	NA	zum Beispiel	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	Kommt zu uns nach Höxter
35	Wir wollen mit euch leben	Kommt zu uns nach Höxter	deshalb	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	NA	NA	NA	NA	NA
36	"Das Ehe·paar hat den Frauen zum Beispiel gesagt:
            Wir wollen mit euch leben.
            Kommt zu uns nach Höxter"	Die Frauen waren sehr einsam	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	EntRel	NA	NA	NA	NA	NA	NA
37	Die Frauen waren sehr einsam	sind die Frauen nach Höxter gefahren	NA	NA	Deshalb	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
38	Deshalb sind die Frauen nach Höxter gefahren	hat das Ehe·paar die Frauen eingesperrt	NA	NA	Dann	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
39	Dann hat das Ehe·paar die Frauen eingesperrt	das Ehe·paar hat die Frauen misshandelt	NA	NA	Und	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
40	Und das Ehe·paar hat die Frauen misshandelt	Die Misshandlungen waren sehr schlimm	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	EntRel	NA	NA	NA	NA	NA	NA
41	Die Misshandlungen waren sehr schlimm	sind 2 von den Frauen gestorben	NA	NA	Deshalb	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
42	Deshalb sind 2 von den Frauen gestorben	Diese 2 Frauen waren aus Niedersachsen	und zwar	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
43	Diese 2 Frauen waren aus Niedersachsen	"Das Gericht hat gesagt:
            Die Taten von dem Ehe·paar waren sehr schlimm.
            Deshalb muss die Frau 13 Jahre lang ins Gefängnis.
            Und der Mann muss 11 Jahre lang in eine Psychiatrie....Der Mann ist nämlich psychisch krank."	NA	NA	NA	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	NoRel	NA	NA	NA	NA	NA	NA
44	Die Taten von dem Ehe·paar waren sehr schlimm	muss die Frau 13 Jahre lang ins Gefängnis	NA	NA	Deshalb	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
45	Deshalb muss die Frau 13 Jahre lang ins Gefängnis	der Mann muss 11 Jahre lang in eine Psychiatrie	NA	NA	Und	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
46	Und der Mann muss 11 Jahre lang in eine Psychiatrie	Der Mann ist...psychisch krank	NA	NA	nämlich	2-Frauen-getoetet-Hohe-Strafen-,hoexter450.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
47	Am Flughafen von Hannover sind Flüge ausgefallen	Eine Start·bahn vom Flughafen war...kaputt	NA	NA	nämlich	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
48	Eine Start·bahn ist eine Fläche auf einem Flughafen	Auf einer Start·bahn starten zum Beispiel Flugzeuge	NA	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	EntRel	NA	NA	NA	NA	NA	NA
49	Eine Start·bahn vom Flughafen war nämlich kaputt	Die Start·bahn ist aus Beton	NA	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	EntRel	NA	NA	NA	NA	NA	NA
50	Beton ist ein Bau·stoff	Beton ist zuerst flüssig	NA	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	EntRel	NA	NA	NA	NA	NA	NA
51	Beton ist...flüssig	wird Beton schnell hart wie Stein	NA	NA	zuerst...Dann	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
52	Die Start·bahn ist aus Beton	Dieser Beton ist aufgeplatzt	NA	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	EntRel	NA	NA	NA	NA	NA	NA
53	Dieser Beton ist aufgeplatzt	konnte in Hannover kein Flugzeug starten	NA	NA	Deshalb	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
54	Dieser Beton ist aufgeplatzt	Warum ist der Beton aufgeplatzt	deshalb	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	NA	NA	NA	Deshalb konnte in Hannover kein Flugzeug starten	NA
55	Warum ist der Beton aufgeplatzt	"In Hannover ist es sehr heiß.
Deshalb ist der Beton auf der Start·bahn sehr heiß geworden.
Das ist nicht gut für den Beton.
Bei großer Hitze dehnt Beton sich nämlich aus...Dann platzt der Beton auf.
Und der Beton bekommt Risse"	NA	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Hypophora	NA	NA	NA	NA	NA	NA
56	In Hannover ist es sehr heiß	ist der Beton auf der Start·bahn sehr heiß geworden	NA	NA	Deshalb	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
57	Deshalb ist der Beton auf der Start·bahn sehr heiß geworden	Das ist nicht gut für den Beton	aber	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
58	Das ist nicht gut für den Beton	Bei großer Hitze dehnt Beton sich...aus	NA	NA	nämlich	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
59	Bei großer Hitze dehnt Beton sich nämlich aus	platzt der Beton auf	NA	NA	Dann	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	AltLex	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
60	Dann platzt der Beton auf	der Beton bekommt Risse	NA	NA	Und	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Expansion.Conjunction	Temporal.Synchronous	NA	NA	NA	NA
61	Und der Beton bekommt Risse	Flüge sind ausgefallen	NA	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	NoRel	NA	NA	NA	NA	NA	NA
62	Flüge sind ausgefallen	"Am Dienstag ist die Start·bahn kaputtgegangen.
Deshalb wurde die Start·bahn am Abend gesperrt.
Und deshalb sind am Abend keine Flugzeuge mehr in Hannover gestartet.
Auch in der Nacht sind keine Flugzeuge in Hannover gestartet"	denn	NA	NA	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	Contingency.Cause.Reason	NA	NA	NA	NA
63	Am Dienstag ist die Start·bahn kaputtgegangen	wurde die Start·bahn am Abend gesperrt	NA	NA	Deshalb	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
64	Deshalb wurde die Start·bahn am Abend gesperrt	sind am Abend keine Flugzeuge mehr in Hannover gestartet	NA	NA	Und deshalb	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Result	Expansion.Conjunction	NA	NA	NA	NA
65	Und deshalb sind am Abend keine Flugzeuge mehr in Hannover gestartet	in der Nacht sind keine Flugzeuge in Hannover gestartet	NA	NA	Auch	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
66	Auch in der Nacht sind keine Flugzeuge in Hannover gestartet	mussten viele Menschen im Flughafen schlafen	NA	NA	Deshalb	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
67	Am Dienstag ist die Start·bahn kaputtgegangen	Am Mittwoch haben Bauarbeiter die Start·bahn repariert	NA	NA	Am Dienstag...Am Mittwoch	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	AltLex	Temporal.Asynchronous.Precedence	Comparison.Contrast	NA	NA	NA	NA
68	Am Mittwoch haben Bauarbeiter die Start·bahn repariert	können wieder Flugzeuge am Flughafen von Hannover starten	NA	NA	Jetzt	Beton-kaputt-Flugzeuge-koennen-nicht-starten,flughafenhannover154.html.txt	AltLex	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
69	In Hamburg war ein Unfall	Bei diesem Unfall ist ein Auto aus einem Park·haus gestürzt	NA	NA	Bei diesem Unfall	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	AltLex	Expansion.Level-of-detail.Arg2-as-detail	Temporal.Synchronous	NA	NA	NA	NA
70	Bei diesem Unfall ist ein Auto aus einem Park·haus gestürzt	bei diesem Unfall ist der Fahrer von dem Auto gestorben	NA	NA	Und	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
71	Und bei diesem Unfall ist der Fahrer von dem Auto gestorben	Der Fahrer von dem Auto war 88 Jahre alt	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	EntRel	NA	NA	NA	NA	NA	NA
72	"In Hamburg war ein Unfall.
Bei diesem Unfall ist ein Auto aus einem Park·haus gestürzt.
Und bei diesem Unfall ist der Fahrer von dem Auto gestorben"	Was ist passiert	deshalb	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	NA	NA	NA	Der Fahrer von dem Auto war 88 Jahre alt	NA
73	Was ist passiert	"Das Park·haus ist in einem Einkaufs·zentrum.
Dieses Einkaufs·zentrum ist in Barmbek-Süd...Die Polizei hat gesagt:
            Das Auto von dem Mann war in dem Park·haus.
            Und das Auto von dem Mann war in der 5. Etage von dem Park·haus.
            Die 5. Etage von dem Park·haus ist in 15 Meter Höhe.
            Der Mann wollte mit dem Auto ausparken.
            Beim Ausparken ist der Mann mit dem Auto rückwärts gefahren.
            Dann ist das Auto gegen eine Wand gefahren.
            Danach ist das Auto schnell vorwärts gefahren.
            Und dann ist das Auto gegen eine andere Wand gefahren.
            Diese andere Wand ist an der Außen·seite von dem Park·haus.
            Diese andere Wand hat das Auto nicht gestoppt.
            Deshalb ist das Auto aus dem Park·haus gestürzt.
            Das Auto ist 15 Meter herunter·gestürzt.
            Das Auto wurde bei dem Unfall zerquetscht.
            Der Mann in dem Auto ist bei dem Unfall gestorben"	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Hypophora	NA	NA	NA	NA	NA	NA
74	Das Park·haus ist in einem Einkaufs·zentrum	Dieses Einkaufs·zentrum ist in Barmbek-Süd	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	EntRel	NA	NA	NA	NA	NA	NA
75	Dieses Einkaufs·zentrum ist in Barmbek-Süd	"Die Polizei hat gesagt:
            Das Auto von dem Mann war in dem Park·haus.
            Und das Auto von dem Mann war in der 5. Etage von dem Park·haus.
            Die 5. Etage von dem Park·haus ist in 15 Meter Höhe.
            Der Mann wollte mit dem Auto ausparken.
            Beim Ausparken ist der Mann mit dem Auto rückwärts gefahren.
            Dann ist das Auto gegen eine Wand gefahren.
            Danach ist das Auto schnell vorwärts gefahren.
            Und dann ist das Auto gegen eine andere Wand gefahren.
            Diese andere Wand ist an der Außen·seite von dem Park·haus.
            Diese andere Wand hat das Auto nicht gestoppt.
            Deshalb ist das Auto aus dem Park·haus gestürzt.
            Das Auto ist 15 Meter herunter·gestürzt.
            Das Auto wurde bei dem Unfall zerquetscht.
            Der Mann in dem Auto ist bei dem Unfall gestorben"	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	NoRel	NA	NA	NA	NA	NA	NA
76	Das Auto von dem Mann war in dem Park·haus	das Auto von dem Mann war in der 5. Etage von dem Park·haus	NA	NA	Und	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
77	Und das Auto von dem Mann war in der 5. Etage von dem Park·haus	Die 5. Etage von dem Park·haus ist in 15 Meter Höhe	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	EntRel	NA	NA	NA	NA	NA	NA
78	Die 5. Etage von dem Park·haus ist in 15 Meter Höhe	Der Mann wollte mit dem Auto ausparken	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	NoRel	NA	NA	NA	NA	NA	NA
79	Der Mann wollte mit dem Auto ausparken	Beim Ausparken ist der Mann mit dem Auto rückwärts gefahren	NA	NA	Beim Ausparken	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	AltLex	Temporal.Synchronous	Contingency.Purpose.Arg1-as-goal	NA	NA	NA	NA
80	Beim Ausparken ist der Mann mit dem Auto rückwärts gefahren	ist das Auto gegen eine Wand gefahren	NA	NA	Dann	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
81	Dann ist das Auto gegen eine Wand gefahren	ist das Auto schnell vorwärts gefahren	NA	NA	Danach	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
82	Danach ist das Auto schnell vorwärts gefahren	ist das Auto gegen eine andere Wand gefahren	NA	NA	Und dann	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
83	Und dann ist das Auto gegen eine andere Wand gefahren	Diese andere Wand hat das Auto nicht gestoppt	jedoch	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	Diese andere Wand ist an der Außen·seite von dem Park·haus	NA
84	Diese andere Wand hat das Auto nicht gestoppt	ist das Auto aus dem Park·haus gestürzt	NA	NA	Deshalb	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
85	Deshalb ist das Auto aus dem Park·haus gestürzt	Das Auto ist 15 Meter herunter·gestürzt	genauer gesagt	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
86	Das Auto ist 15 Meter herunter·gestürzt	Das Auto wurde bei dem Unfall zerquetscht	NA	NA	bei dem Unfall	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	AltLex	Contingency.Cause.Result	NA	NA	NA	NA	NA
87	Das Auto wurde bei dem Unfall zerquetscht	Der Mann in dem Auto ist bei dem Unfall gestorben	NA	NA	bei dem Unfall	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	AltLex	Contingency.Cause.Result	Temporal.Synchronous	NA	NA	NA	NA
88	"Die Polizei hat gesagt:
            Das Auto von dem Mann war in dem Park·haus.
            Und das Auto von dem Mann war in der 5. Etage von dem Park·haus.
            Die 5. Etage von dem Park·haus ist in 15 Meter Höhe.
            Der Mann wollte mit dem Auto ausparken.
            Beim Ausparken ist der Mann mit dem Auto rückwärts gefahren.
            Dann ist das Auto gegen eine Wand gefahren.
            Danach ist das Auto schnell vorwärts gefahren.
            Und dann ist das Auto gegen eine andere Wand gefahren.
            Diese andere Wand ist an der Außen·seite von dem Park·haus.
            Diese andere Wand hat das Auto nicht gestoppt.
            Deshalb ist das Auto aus dem Park·haus gestürzt.
            Das Auto ist 15 Meter herunter·gestürzt.
            Das Auto wurde bei dem Unfall zerquetscht.
            Der Mann in dem Auto ist bei dem Unfall gestorben"	"will die Polizei wissen:
            Warum ist der Unfall passiert"	NA	NA	Jetzt	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
89	"Jetzt will die Polizei wissen:
            Warum ist der Unfall passiert"	"müssen Fach·leute untersuchen:
            War der Mann vielleicht krank"	NA	NA	Deshalb	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
