1	Schwerer	Schwerer	_	ADJA	nom|sg|masc|comp	2	ATTR	_	_
2	2	2	_	CARD	_	3	ATTR	_	_
3	Fahrer	Fahrer	_	NN	nom|pl|masc	7	SUBJ	_	_
4	von	von	_	APPR	_	3	PP	_	_
5	den	der	_	ART	dat|pl|masc	6	DET	_	_
6	Autos	Auto	_	NN	dat|pl|masc	4	PN	_	_
7	wurden	werden	_	VAFIN	pl|3|past|ind	0	S	_	_
8	leicht	leicht	_	ADJD	pos	9	ADV	_	_
9	verletzt	verletzen	_	VVPP	_	7	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Nach	nach	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Unfall	Unfall	_	NN	dat|sg|masc	1	PN	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|sg|fem	6	DET	_	_
6	Polizei	Polizei	_	NN	nom|sg|fem	9	OBJA	_	_
7	die	der	_	ART	acc|sg|fem	8	DET	_	_
8	A2	A2	_	NN	acc|sg|fem	6	GMOD	_	_
9	gesperrt	sperren	_	VVPP	_	4	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	OBJA2	_	_
2	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Auf	auf	_	APPR	_	7	PP	_	_
5	der	der	_	ART	dat|sg|fem	6	DET	_	_
6	A2	A2	_	NE	dat|sg|fem	4	PN	_	_
7	durften	dürfen	_	VMFIN	pl|3|past|ind	2	S	_	_
8	keine	kein	_	PIAT	acc|pl|neut	9	DET	_	_
9	Autos	Auto	_	NN	acc|pl|neut	10	OBJA	_	_
10	fahren	fahren	_	VVINF	_	7	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	kein	kein	_	PIAT	nom|sg|masc	3	DET	_	_
3	Lkw	Lkw	_	NN	nom|sg|masc	1	CJ	_	_
4	.	--	_	$.	_	0	ROOT	_	_

